"L_City","total_listings","avg_price","avg_sqft","avg_price_per_sqft"
Newport Coast,43,18537718,6492,2468.67
Hidden Hills,29,15922828,10550,1485.66
Carpinteria,14,14584643,4110,3950.56
Beverly Hills,242,13597357,6098,1904.54
Rancho Santa Fe,79,10875965,7369,1509.36
Bradbury,15,10604333,9968,1078.20
Santa Ynez,19,10365632,5622,1487.11
Pebble Beach,24,9949792,4905,1697.81
Hillsborough,16,9916125,5819,1758.71
Los Altos Hills,10,9821000,6183,1574.20
Malibu,253,9618177,4076,2382.83
Laguna Beach,142,8655847,3050,2839.92
Santa Barbara,53,8361092,3938,1902.95
Woodside,17,8119471,5510,1499.62
Coto de Caza,31,7423581,5891,776.81
